numberOfItems,greedy,dynamicProgramming
1000,12371,10969,
1500,22581,20274,
2000,35834,31057,
2500,51880,43937,
3000,69807,61792,
3500,87184,79802,
4000,98944,88600,
4500,105818,98142,
5000,139436,126403,
5500,157410,143737,
6000,177844,163169,
6500,219291,201938,
7000,232453,214223,
7500,263713,246194,
8000,253119,238074,
8500,322116,299068,
9000,346788,323611,
9500,376799,348598,
